"","country","countryLabel","capital","capitalLabel","coordinate_location"
"107","http://www.wikidata.org/entity/Q826","Maldives","http://www.wikidata.org/entity/Q9347","Malé","Point(73.508333333 4.175)"
"108","http://www.wikidata.org/entity/Q912","Mali","http://www.wikidata.org/entity/Q3703","Bamako","Point(-7.992222222 12.645833333)"
"109","http://www.wikidata.org/entity/Q233","Malta","http://www.wikidata.org/entity/Q23800","Valletta","Point(14.5125 35.897777777)"
"110","http://www.wikidata.org/entity/Q709","Marshall Islands","http://www.wikidata.org/entity/Q12919","Majuro","Point(171.266666666 7.066666666)"
"111","http://www.wikidata.org/entity/Q1025","Mauritania","http://www.wikidata.org/entity/Q3688","Nouakchott","Point(-15.974444444 18.078333333)"
"112","http://www.wikidata.org/entity/Q1027","Mauritius","http://www.wikidata.org/entity/Q3929","Port Louis","Point(57.5 -20.166666666)"
"113","http://www.wikidata.org/entity/Q96","Mexico","http://www.wikidata.org/entity/Q1489","Mexico City","Point(-99.145555555 19.419444444)"
"114","http://www.wikidata.org/entity/Q217","Moldova","http://www.wikidata.org/entity/Q21197","Chi<U+0219>inau","Point(28.8575 47.005555555)"
"115","http://www.wikidata.org/entity/Q235","Monaco","http://www.wikidata.org/entity/Q55115","City of Monaco","Point(7.424815 43.73097)"
"116","http://www.wikidata.org/entity/Q711","Mongolia","http://www.wikidata.org/entity/Q23430","Ulaanbaatar","Point(106.917222222 47.920277777)"
"117","http://www.wikidata.org/entity/Q236","Montenegro","http://www.wikidata.org/entity/Q23564","Podgorica","Point(19.266111111 42.439722222)"
"118","http://www.wikidata.org/entity/Q1028","Morocco","http://www.wikidata.org/entity/Q3551","Rabat","Point(-6.836111111 34.025277777)"
"119","http://www.wikidata.org/entity/Q1029","Mozambique","http://www.wikidata.org/entity/Q3889","Maputo","Point(32.576388888 -25.915277777)"
"120","http://www.wikidata.org/entity/Q836","Myanmar","http://www.wikidata.org/entity/Q37400","Naypyidaw","Point(96.115 19.7475)"
"121","http://www.wikidata.org/entity/Q1030","Namibia","http://www.wikidata.org/entity/Q3935","Windhoek","Point(17.083611111 -22.57)"
"122","http://www.wikidata.org/entity/Q697","Nauru","http://www.wikidata.org/entity/Q31026","Yaren District","Point(166.920867 -0.5477)"
"123","http://www.wikidata.org/entity/Q837","Nepal","http://www.wikidata.org/entity/Q3037","Kathmandu","Point(85.366666666 27.716666666)"
"124","http://www.wikidata.org/entity/Q664","New Zealand","http://www.wikidata.org/entity/Q23661","Wellington","Point(174.777222222 -41.288888888)"
"125","http://www.wikidata.org/entity/Q811","Nicaragua","http://www.wikidata.org/entity/Q3274","Managua","Point(-86.266666666 12.15)"
"126","http://www.wikidata.org/entity/Q1032","Niger","http://www.wikidata.org/entity/Q3674","Niamey","Point(2.111111111 13.508611111)"
"127","http://www.wikidata.org/entity/Q1033","Nigeria","http://www.wikidata.org/entity/Q3787","Abuja","Point(7.491388888 9.055555555)"
"128","http://www.wikidata.org/entity/Q423","North Korea","http://www.wikidata.org/entity/Q18808","Pyongyang","Point(125.73 39.03)"
"129","http://www.wikidata.org/entity/Q221","North Macedonia","http://www.wikidata.org/entity/Q384","Skopje","Point(21.433333333 41.983333333)"
"130","http://www.wikidata.org/entity/Q20","Norway","http://www.wikidata.org/entity/Q585","Oslo","Point(10.752777777 59.911111111)"
"131","http://www.wikidata.org/entity/Q842","Oman","http://www.wikidata.org/entity/Q3826","Muscat","Point(58.592222222 23.613888888)"
