"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"125","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q3361","Doubs","http://www.wikidata.org/entity/Q142","France"
"126","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q16394","Franche-Comté","http://www.wikidata.org/entity/Q142","France"
"127","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q700660","arrondissement of Besançon","http://www.wikidata.org/entity/Q142","France"
"128","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q2986992","Grand Besançon Métropole","http://www.wikidata.org/entity/Q142","France"
"129","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q16011081","canton of Besançon-2","http://www.wikidata.org/entity/Q142","France"
"130","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q17174813","canton of Besançon-1","http://www.wikidata.org/entity/Q142","France"
"131","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q17174819","canton of Besançon-4","http://www.wikidata.org/entity/Q142","France"
"132","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q17174822","canton of Besançon-5","http://www.wikidata.org/entity/Q142","France"
"133","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q17174825","canton of Besançon-6","http://www.wikidata.org/entity/Q142","France"
"134","http://www.wikidata.org/entity/Q37776","Besançon","Point(6.021388888 47.242222222)","http://www.wikidata.org/entity/Q17189836","canton of Besançon-3","http://www.wikidata.org/entity/Q142","France"
"135","http://www.wikidata.org/entity/Q37806","Port Vila","Point(168.3 -17.75)","http://www.wikidata.org/entity/Q686","Vanuatu","http://www.wikidata.org/entity/Q686","Vanuatu"
"136","http://www.wikidata.org/entity/Q38807","Suva","Point(178.433333333 -18.133333333)","http://www.wikidata.org/entity/Q712","Fiji","http://www.wikidata.org/entity/Q712","Fiji"
"137","http://www.wikidata.org/entity/Q38807","Suva","Point(178.433333333 -18.133333333)","http://www.wikidata.org/entity/Q208198","Viti Levu","http://www.wikidata.org/entity/Q712","Fiji"
"138","http://www.wikidata.org/entity/Q38807","Suva","Point(178.433333333 -18.133333333)","http://www.wikidata.org/entity/Q5291089","Dominion of Fiji","http://www.wikidata.org/entity/Q712","Fiji"
